# pid 2708282
time	RSS	X pixmaps	CPU	Open files
12:21:46	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:21:47	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:21:48	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:21:49	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:21:50	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:21:51	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:21:52	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:21:53	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:21:54	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:21:55	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:21:56	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:21:57	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:21:58	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:21:59	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:00	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:01	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:02	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:03	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:04	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:05	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:06	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:07	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:08	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:09	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:10	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:11	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:12	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 1%	10
12:22:13	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:14	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:15	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:16	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:17	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:18	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:19	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:20	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:21	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:22	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:23	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:24	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:25	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:26	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:27	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:28	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:29	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:30	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:31	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:32	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:33	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:34	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:35	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:36	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:37	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:38	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:39	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:40	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:41	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:42	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:43	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:44	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:45	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:46	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:47	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:48	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:49	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:50	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:51	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:52	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:53	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:54	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:55	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:56	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:57	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:58	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:22:59	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:00	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:01	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
